scheme_id,rule_id,section,attribute,operator,normalized_value,evidence_text
S034,S034-E008,,age,INFORMATION,4\. Girl students up to the age of 40 years for the general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible.,4\. Girl students up to the age of 40 years for the general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible.
S034,S034-E009,,gender,INFORMATION,5\. Transgender candidates are eligible to apply under the scheme as per the norms.,5\. Transgender candidates are eligible to apply under the scheme as per the norms.
S035,S035-E001,,gender,INFORMATION,1\.	Applicant should be Transgender.,1\.	Applicant should be Transgender.
S035,S035-E002,,residency,INFORMATION,2\.	Applicant should be a resident of Kerala.,2\.	Applicant should be a resident of Kerala.
S035,S035-E003,,residency,INFORMATION,3\.	Applicant should be a student and studying in State Government/ Government aided/ Self Financing schools/colleges.,3\.	Applicant should be a student and studying in State Government/ Government aided/ Self Financing schools/colleges.
S035,S035-E004,,education,INFORMATION,4\.	The applicant should be studying in 7th Class to Diploma/Degree/PG Level.,4\.	The applicant should be studying in 7th Class to Diploma/Degree/PG Level.
S035,S035-E005,,income,NO_LIMIT,No income limit,5\.	There is no income limit.
S036,S036-E001,,special_condition,INFORMATION,The applicant must be a citizen of India.,The applicant must be a citizen of India.
S036,S036-E002,,social_category,INFORMATION,The applicant must belong to Scheduled Castes / Scheduled Tribes communities as defined by the Government of India.,The applicant must belong to Scheduled Castes / Scheduled Tribes communities as defined by the Government of India.
S036,S036-E003,,education,INFORMATION,Only those students who have been admitted in Agricultural Universities in any of the undergraduate degree programmes of Agriculture & Allied Sciences will be eligible for this scholarship.,Only those students who have been admitted in Agricultural Universities in any of the undergraduate degree programmes of Agriculture & Allied Sciences will be eligible for this scholarship.
S036,S036-E004,,special_condition,INFORMATION,General Condition:***,General Condition:***
